bench;k;strategy;num_traces;num_classes;num_covered;time_split;time_class;time_total;num_synth
AFC1;1;alw_mid;100;4;2;0;0.237;0.237;4
AFC1;1;no_prune;100;4;2;0;0.540;0.540;4
AFC1;2;alw_mid;100;10;8;0;4.453;4.453;9
AFC1;2;no_prune;100;10;8;0;4.599;4.599;10
AFC1;3;alw_mid;100;28;26;0;29.852;29.852;22
AFC1;3;no_prune;100;28;26;0;38.477;38.477;28
AFC1;4;alw_mid;100;82;78;0;127.634;127.634;56
AFC1;4;no_prune;100;82;78;0;178.872;178.872;82
AT1;1;alw_mid;100;4;3;0;0.073;0.073;4
AT1;1;no_prune;100;4;3;0;0.361;0.361;4
AT1;2;alw_mid;100;16;15;0;0.444;0.444;12
AT1;2;no_prune;100;16;15;0;0.587;0.587;16
AT1;3;alw_mid;100;64;63;0;6.363;6.363;33
AT1;3;no_prune;100;64;63;0;16.467;16.467;64
AT1;4;alw_mid;100;208;207;0;17.594;17.594;64
AT1;4;no_prune;100;208;207;0;83.639;83.639;208
AT2;1;alw_mid;100;4;3;0;0.104;0.104;4
AT2;1;no_prune;100;4;3;0;0.374;0.374;4
AT2;2;alw_mid;100;16;15;0;0.551;0.551;12
AT2;2;no_prune;100;16;15;0;0.775;0.775;16
AT2;3;alw_mid;100;64;63;0;9.804;9.804;33
AT2;3;no_prune;100;64;63;0;25.069;25.069;64
AT2;4;alw_mid;100;208;207;0;31.866;31.866;64
AT2;4;no_prune;100;208;207;0;133.264;133.264;208
AT3;1;alw_mid;100;2;1;0;0.026;0.026;2
AT3;1;no_prune;100;2;1;0;0.298;0.298;2
AT3;2;alw_mid;100;4;3;0;0.209;0.209;4
AT3;2;no_prune;100;4;3;0;0.216;0.216;4
AT3;3;alw_mid;100;8;7;0;0.989;0.989;7
AT3;3;no_prune;100;8;7;0;1.333;1.333;8
AT3;4;alw_mid;100;12;11;0;1.653;1.653;9
AT3;4;no_prune;100;12;11;0;2.943;2.943;12
AT5;1;alw_mid;100;4;3;0;0.059;0.059;4
AT5;1;no_prune;100;4;3;0;0.345;0.345;4
AT5;2;alw_mid;100;10;9;0;0.222;0.222;9
AT5;2;no_prune;100;10;9;0;0.255;0.255;10
AT5;3;alw_mid;100;28;27;0;5.804;5.804;22
AT5;3;no_prune;100;28;27;0;7.527;7.527;28
AT5;4;alw_mid;100;82;81;0;22.588;22.588;56
AT5;4;no_prune;100;82;81;0;33.653;33.653;82
Robot;1;no_prune;75;8;7;0;0.37;0.37;8
Robot;1;alw_mid;75;8;7;0;0.323;0.324;7
Robot;2;no_prune;75;40;39;0;1.83;1.842;40
Robot;2;alw_mid;75;40;39;0;1.113;1.125;25
Robot;3;no_prune;75;224;223;0;17.829;75.015;224
Robot;3;alw_mid;75;224;223;0;6.138;63.198;89
